Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,40.720001,42.160000,40.630001,41.509998,41.509998,10862100
2020-10-01,42.290001,44.700001,41.599998,44.529999,44.529999,30647900
2020-10-02,43.200001,44.799999,42.720001,43.820000,43.820000,13603100
2020-10-05,44.020000,45.200001,43.150002,44.070000,44.070000,18275300
2020-10-06,43.860001,44.509998,42.320000,43.009998,43.009998,14583800
2020-10-07,43.759998,44.090000,42.900002,43.360001,43.360001,9357700
2020-10-08,44.049999,44.090000,43.070000,43.610001,43.610001,7737100
2020-10-09,44.020000,44.580002,43.320000,43.389999,43.389999,11324600
2020-10-12,44.500000,45.840000,43.810001,44.040001,44.040001,16994900
2020-10-13,44.500000,44.759998,43.720001,44.150002,44.150002,9151000
2020-10-14,44.480000,44.639999,43.570000,43.990002,43.990002,8338900
2020-10-15,43.330002,43.790001,42.669998,43.650002,43.650002,9851900
2020-10-16,45.160000,45.700001,43.959999,44.060001,44.060001,10908700
2020-10-19,44.200001,46.349998,44.060001,45.820000,45.820000,19387900
2020-10-20,46.127998,46.189999,44.610001,45.320000,45.320000,11595300
2020-10-21,49.400002,52.049999,48.799999,49.380001,49.380001,45491500
2020-10-22,50.349998,51.228001,48.286999,50.810001,50.810001,15688100
2020-10-23,51.060001,53.230000,49.630001,53.000000,53.000000,16705300
2020-10-26,53.450001,53.869999,49.099998,50.459999,50.459999,25385800
2020-10-27,51.004002,52.900002,50.189999,52.520000,52.520000,17840700
2020-10-28,50.020000,50.700001,48.570000,49.250000,49.250000,34013200
2020-10-29,64.000000,68.930000,61.119999,62.509998,62.509998,128101800
2020-10-30,61.110001,61.750000,57.709999,58.950001,58.950001,57123100
2020-11-02,59.000000,59.770000,56.310001,58.380001,58.380001,36422200
2020-11-03,58.709999,59.939999,57.770000,59.580002,59.580002,20781800
2020-11-04,60.080002,61.919998,59.330002,61.450001,61.450001,21601300
2020-11-05,62.799999,63.730000,61.509998,63.470001,63.470001,15673000
2020-11-06,63.320000,65.470001,62.049999,64.739998,64.739998,12283900
2020-11-09,61.000000,61.750000,57.375999,57.750000,57.750000,19633400
2020-11-10,57.000000,57.150002,52.060001,55.669998,55.669998,22938900
2020-11-11,56.400002,59.990002,56.349998,59.549999,59.549999,15981400
2020-11-12,59.259998,60.930000,58.525002,60.259998,60.259998,12935100
2020-11-13,61.189999,62.627998,60.077000,62.320000,62.320000,11989700
2020-11-16,61.480000,62.650002,59.119999,62.619999,62.619999,11595900
2020-11-17,62.470001,64.120003,61.810001,63.349998,63.349998,9239900
2020-11-18,63.400002,65.279999,62.700001,64.449997,64.449997,9875900
2020-11-19,64.970001,67.190002,64.790001,65.949997,65.949997,10876200
2020-11-20,66.500000,67.599998,66.150002,66.849998,66.849998,7780000
2020-11-23,67.599998,68.099998,63.634998,65.790001,65.790001,12945200
2020-11-24,65.879997,65.879997,62.430000,64.029999,64.029999,13584600
2020-11-25,64.260002,67.739998,64.099998,67.419998,67.419998,10655000
2020-11-27,68.120003,70.110001,66.889999,69.720001,69.720001,8459200
2020-11-30,70.250000,70.629997,65.750000,70.019997,70.019997,15082900
2020-12-01,70.910004,71.099998,67.430000,68.209999,68.209999,8262300
2020-12-02,67.500000,68.449997,65.010002,68.010002,68.010002,6581900
2020-12-03,68.470001,71.370003,68.000000,69.699997,69.699997,10601600
2020-12-04,70.139999,70.250000,66.790001,67.309998,67.309998,9515600
2020-12-07,68.279999,70.910004,67.910004,70.309998,70.309998,9412500
2020-12-08,70.250000,70.800003,68.419998,69.919998,69.919998,6097500
2020-12-09,69.900002,72.720001,67.449997,68.470001,68.470001,10697500
2020-12-10,67.779999,71.910004,66.599998,71.639999,71.639999,8500900
2020-12-11,71.250000,72.879997,69.269997,71.129997,71.129997,6914700
2020-12-14,72.169998,72.180000,69.519997,69.790001,69.790001,6879800
2020-12-15,70.360001,70.988998,68.949997,70.709999,70.709999,6432700
2020-12-16,70.980003,71.570000,68.680000,70.269997,70.269997,7565800
2020-12-17,71.699997,72.680000,70.099998,71.000000,71.000000,10128200
2020-12-18,71.589996,71.800003,69.810997,70.360001,70.360001,12822100
2020-12-21,69.610001,71.629997,68.349998,69.849998,69.849998,12656200
2020-12-22,70.290001,72.419998,69.349998,72.349998,72.349998,9143100
2020-12-23,73.000000,75.441002,72.650002,72.989998,72.989998,11107200
2020-12-24,73.000000,73.410004,70.322998,71.040001,71.040001,4552300
2020-12-28,72.000000,72.480003,66.650002,67.790001,67.790001,8081200
2020-12-29,68.010002,69.510002,66.599998,68.290001,68.290001,6939400
2020-12-30,68.330002,68.529999,65.919998,67.139999,67.139999,8639000
2020-12-31,67.309998,67.544998,65.449997,65.900002,65.900002,6583300
2021-01-04,66.000000,69.669998,64.500000,68.070000,68.070000,12825700
2021-01-05,67.919998,69.410004,67.449997,68.419998,68.419998,6482300
2021-01-06,66.029999,68.339996,64.739998,67.110001,67.110001,9518500
2021-01-07,67.709999,71.410004,67.709999,71.379997,71.379997,9870700
2021-01-08,72.199997,73.570000,69.500000,71.870003,71.870003,9102500
2021-01-11,70.809998,72.891998,69.024002,71.699997,71.699997,7812800
2021-01-12,71.169998,75.070000,71.169998,75.070000,75.070000,8929900
2021-01-13,76.000000,76.879997,72.704002,72.760002,72.760002,9793800
2021-01-14,73.449997,76.250000,70.410004,70.959999,70.959999,13110400
2021-01-15,71.389999,71.849998,68.919998,69.750000,69.750000,8872300
2021-01-19,71.750000,71.949997,69.580002,71.010002,71.010002,6820100
2021-01-20,72.000000,73.019997,69.580002,72.639999,72.639999,6938700
2021-01-21,74.199997,74.459999,72.209999,73.519997,73.519997,9567900
2021-01-22,73.519997,75.400002,72.900002,73.080002,73.080002,10136600
2021-01-25,74.459999,75.070000,68.610001,73.370003,73.370003,13803000
2021-01-26,73.650002,74.040001,68.570000,69.239998,69.239998,16432500
2021-01-27,65.519997,68.870003,62.150002,64.669998,64.669998,17567200
2021-01-28,67.320000,69.290001,66.010002,68.510002,68.510002,11665400
2021-01-29,68.000000,69.250000,65.910004,68.510002,68.510002,11215400
2021-02-01,69.610001,71.989998,68.550003,70.720001,70.720001,9755800
2021-02-02,72.480003,74.129997,71.370003,73.870003,73.870003,10042900
2021-02-03,76.000000,77.980003,73.029999,77.139999,77.139999,16319200
2021-02-04,78.779999,79.150002,75.050003,77.839996,77.839996,26599500
2021-02-05,86.199997,86.490997,79.699997,81.959999,81.959999,46113100
2021-02-08,81.430000,81.800003,77.940002,79.809998,79.809998,23275900
2021-02-09,79.449997,81.699997,79.029999,79.410004,79.410004,12494400
2021-02-10,80.904999,82.489998,78.535004,81.120003,81.120003,13038500
2021-02-11,85.699997,87.374001,83.500000,87.029999,87.029999,31105300
2021-02-12,86.660004,86.980003,83.629997,84.040001,84.040001,11050200
2021-02-16,86.550003,89.900002,86.489998,89.150002,89.150002,19279100
2021-02-17,87.059998,87.449997,83.629997,86.300003,86.300003,10418500
2021-02-18,85.309998,86.800003,83.660004,85.989998,85.989998,9162500
2021-02-19,87.410004,88.290001,85.430000,85.900002,85.900002,7056300
2021-02-22,85.000000,86.830002,80.440002,80.989998,80.989998,10141100
2021-02-23,74.349998,84.930000,70.599998,84.559998,84.559998,20293600
2021-02-24,83.849998,85.400002,81.519997,84.169998,84.169998,8856400
2021-02-25,85.570000,86.500000,78.690002,79.110001,79.110001,11514400
2021-02-26,80.260002,81.589996,76.389999,80.580002,80.580002,14156100
2021-03-01,82.570000,83.470001,80.900002,83.320000,83.320000,8099100
2021-03-02,84.209999,85.099998,80.279999,81.169998,81.169998,8978800
2021-03-03,81.169998,81.709999,73.010002,74.389999,74.389999,13224600
2021-03-04,73.010002,74.230003,66.300003,68.839996,68.839996,22917400
2021-03-05,70.000000,70.440002,60.330002,68.139999,68.139999,22084600
2021-03-08,68.550003,69.665001,62.310001,62.490002,62.490002,15086500
2021-03-09,67.029999,67.889999,64.400002,67.480003,67.480003,13599200
2021-03-10,68.709999,70.800003,67.209999,68.970001,68.970001,14304000
2021-03-11,71.889999,72.279999,69.529999,71.879997,71.879997,10089300
2021-03-12,68.809998,71.760002,67.695000,71.750000,71.750000,9360400
2021-03-15,72.300003,72.790001,70.099998,72.790001,72.790001,7300600
2021-03-16,73.989998,75.098000,72.510002,73.790001,73.790001,10032100
2021-03-17,72.400002,75.629997,71.000000,74.949997,74.949997,10055300
2021-03-18,74.050003,74.330002,69.110001,69.389999,69.389999,13551400
2021-03-19,69.410004,73.230003,69.400002,73.010002,73.010002,14247500
2021-03-22,71.800003,73.250000,70.110001,72.349998,72.349998,14628800
2021-03-23,72.019997,72.089996,70.599998,71.239998,71.239998,9351400
2021-03-24,71.949997,72.720001,69.195000,69.599998,69.599998,10598400
2021-03-25,66.375000,68.910004,65.500000,68.209999,68.209999,11397200
2021-03-26,68.919998,69.760002,66.820000,69.070000,69.070000,10368300
2021-03-29,68.839996,69.839996,67.529999,69.379997,69.379997,9408200
2021-03-30,68.720001,70.739998,68.320000,69.309998,69.309998,7232700
2021-03-31,70.290001,74.660004,70.179001,74.029999,74.029999,9376700
2021-04-01,75.769997,78.670998,75.769997,77.730003,77.730003,11505100
2021-04-05,79.370003,80.300003,77.830002,79.529999,79.529999,11123100
2021-04-06,80.639999,84.367996,80.430000,83.290001,83.290001,12118600
2021-04-07,82.589996,85.550003,82.010002,83.800003,83.800003,9861100
2021-04-08,84.989998,86.113998,83.919998,85.980003,85.980003,8559700
2021-04-09,85.260002,86.089996,83.129997,85.529999,85.529999,8565400
2021-04-12,85.003998,85.003998,81.540001,83.980003,83.980003,8730000
2021-04-13,84.459999,84.610001,82.445999,83.900002,83.900002,7394600
2021-04-14,84.660004,88.830002,82.970001,83.489998,83.489998,9402000
2021-04-15,84.839996,85.158997,83.300003,84.430000,84.430000,7782700
2021-04-16,84.084999,84.084999,75.309998,76.220001,76.220001,35050400
2021-04-19,75.599998,75.790001,71.510002,73.910004,73.910004,16897000
2021-04-20,73.790001,74.239998,70.651001,71.320000,71.320000,10904800
2021-04-21,70.860001,72.940002,69.849998,72.510002,72.510002,9923500
2021-04-22,73.970001,74.220001,71.430000,71.989998,71.989998,11826400
2021-04-23,74.970001,75.889999,72.352997,74.989998,74.989998,14231700
2021-04-26,74.889999,76.739998,74.129997,76.730003,76.730003,9903900
2021-04-27,76.389999,78.629997,75.949997,77.580002,77.580002,19171800
2021-04-28,69.190002,69.669998,65.830002,66.330002,66.330002,60523500
2021-04-29,67.110001,68.400002,65.360001,68.209999,68.209999,21440300
2021-04-30,66.919998,67.411003,65.809998,66.370003,66.370003,14473300
2021-05-03,66.709999,67.370003,63.250000,63.709999,63.709999,15241900
2021-05-04,62.930000,63.217999,59.849998,62.299999,62.299999,21606000
2021-05-05,62.900002,63.119999,61.250000,61.830002,61.830002,13432300
2021-05-06,61.040001,61.075001,57.049999,59.220001,59.220001,25708600
2021-05-07,60.099998,61.330002,58.910000,59.860001,59.860001,15522400
